net,length_um
_2562_,42.16µm
net564,42.08µm
_1511_,42.02µm
_1416_,41.98µm
RF.registers\[3\]\[27\],41.805µm
RF.registers\[5\]\[25\],41.58µm
_2162_,41.42µm
RF.registers\[13\]\[12\],41.415µm
_1923_,41.41µm
RF.registers\[2\]\[12\],41.335µm
_2052_,41.32µm
_1949_,41.19µm
RF.registers\[8\]\[19\],41.16µm
_1510_,41.12µm
RF.registers\[13\]\[24\],41.085µm
_2159_,41.08µm
net1101,40.9µm
_1963_,40.9µm
net455,40.9µm
_2508_,40.7µm
_1717_,40.66µm
RF.registers\[16\]\[18\],40.62µm
next_pc\[5\],40.46µm
alu_result_out[31],40.41µm
_1430_,40.36µm
_2694_,40.28µm
_2277_,40.18µm
_3134_,39.94µm
RF.registers\[16\]\[19\],39.86µm
RF.registers\[9\]\[31\],39.86µm
RF.registers\[16\]\[30\],39.72µm
RF.registers\[4\]\[5\],39.66µm
_2317_,39.38µm
RF.registers\[4\]\[30\],39.24µm
_2198_,39.16µm
_2206_,39.16µm
RF.registers\[4\]\[13\],39.14µm
RF.registers\[13\]\[22\],39.04µm
RF.registers\[15\]\[24\],39µm
RF.registers\[2\]\[24\],38.96µm
RF.registers\[9\]\[2\],38.96µm
_1932_,38.94µm
RF.registers\[8\]\[24\],38.86µm
_2146_,38.84µm
_2438_,38.82µm
_2603_,38.78µm
net1169,38.74µm
_1333_,38.74µm
RF.registers\[16\]\[20\],38.7µm
_2235_,38.54µm
_2526_,38.49µm
pc_out[0],38.46µm
_2791_,38.42µm
DMEM.memory\[0\]\[12\],38.38µm
RF.registers\[2\]\[29\],38.34µm
RF.registers\[4\]\[0\],38.34µm
_2139_,38.34µm
_1512_,38.3µm
RF.registers\[4\]\[7\],38.28µm
RF.registers\[5\]\[12\],38.105µm
RF.registers\[4\]\[29\],38.09µm
_1396_,37.94µm
RF.registers\[3\]\[11\],37.92µm
RF.registers\[15\]\[13\],37.86µm
RF.registers\[16\]\[29\],37.78µm
_2038_,37.78µm
RF.registers\[10\]\[16\],37.66µm
_2478_,37.62µm
_2545_,37.585µm
_1973_,37.58µm
_1314_,37.28µm
pc_out[24],37.27µm
RF.registers\[9\]\[8\],37.18µm
_2639_,37.14µm
_2104_,37.12µm
_2257_,37.08µm
_2010_,37.02µm
_2179_,37.02µm
_1262_,36.9µm
RF.registers\[13\]\[3\],36.8µm
_2316_,36.6µm
_1629_,36.54µm
_2456_,36.32µm
RF.registers\[3\]\[13\],36.24µm
_2013_,36.2µm
_1389_,36.01µm
net1100,35.92µm
RF.registers\[3\]\[15\],35.9µm
_1663_,35.86µm
_2628_,35.84µm
_2113_,35.74µm
_2264_,35.72µm
_1982_,35.56µm
RF.registers\[2\]\[18\],35.52µm
_1953_,35.36µm
_1957_,35.18µm
_1649_,35.16µm
_2065_,35.16µm
net492,34.98µm
_1787_,34.92µm
_1576_,34.84µm
_2039_,34.76µm
_2314_,34.76µm
_2312_,34.6µm
_2069_,34.57µm
RF.registers\[2\]\[26\],34.525µm
_2208_,34.5µm
_2045_,34.42µm
RF.registers\[8\]\[18\],34.37µm
RF.registers\[3\]\[12\],34.36µm
RF.registers\[10\]\[17\],34.3µm
RF.registers\[3\]\[14\],34.3µm
_2293_,34.26µm
_2646_,34.24µm
_2435_,34.075µm
_2290_,34.04µm
net1167,33.94µm
pc_out[28],33.93µm
_1696_,33.88µm
_2671_,33.88µm
net454,33.86µm
_1526_,33.86µm
_1961_,33.86µm
_2739_,33.86µm
_1400_,33.78µm
RF.registers\[16\]\[21\],33.725µm
_1545_,33.72µm
_2431_,33.7µm
RF.registers\[16\]\[16\],33.68µm
_2669_,33.68µm
_1523_,33.56µm
_1477_,33.55µm
RF.registers\[9\]\[28\],33.5µm
_2670_,33.44µm
_2150_,33.3µm
pc_out[31],33.25µm
_1772_,33.24µm
_2452_,33.22µm
_1753_,33.08µm
_1975_,33.06µm
_2484_,33.02µm
_2483_,33.005µm
RF.registers\[9\]\[29\],33µm
_1483_,32.94µm
RF.registers\[2\]\[27\],32.8µm
_1508_,32.7µm
RF.registers\[13\]\[2\],32.58µm
_2021_,32.5µm
_2707_,32.5µm
RF.registers\[10\]\[23\],32.46µm
RF.registers\[1\]\[2\],32.26µm
net1212,32.24µm
_2286_,32.23µm
RF.registers\[13\]\[9\],32.2µm
RF.registers\[2\]\[5\],32.16µm
RF.registers\[16\]\[23\],32.14µm
_2773_,32.105µm
RF.registers\[10\]\[15\],32µm
_2457_,32µm
alu_result_out[8],31.97µm
net565,31.92µm
RF.registers\[1\]\[16\],31.86µm
_2092_,31.86µm
net557,31.84µm
next_pc\[22\],31.82µm
_1279_,31.77µm
_1767_,31.66µm
